,vm_pu,name,vn_kv,type
0,0.9514777597612893,cubicle44692,11.0,b
1,0.9992718614434921,node23009517,11.0,b
2,0.9677038251596318,cubicle34905,11.0,b
3,0.9514777737012875,cn-cable3338924-t2,11.0,b
4,0.9544772821671624,cn-cable3336386-t2,11.0,b
5,0.9819234932105376,cubicle77077,11.0,b
6,0.9514778380299104,node70366883,11.0,b
7,0.9677038304683084,cubicle46270,11.0,b
8,0.9514778348126375,node84625589,11.0,b
9,0.9995536727028506,cn-busbar87065-t2,11.0,b
10,0.9514777970823457,cn-cable3338140-t2,11.0,b
11,0.954477249257399,cn-cable3336350-t2,11.0,b
12,0.9672543720060659,cn-cable3338488-t2,11.0,b
13,0.9514777310985327,node71578342,11.0,b
14,0.9672543872576477,node67194728,11.0,b
15,0.998446283552517,cn-busbar85065-t2,11.0,b
16,0.951477764287202,cubicle40258,11.0,b
17,0.9885589299574438,node67831068,11.0,b
18,0.9980275926366866,node84338613,11.0,b
19,0.9672544168081924,node57577398,11.0,b
20,0.9514778026248112,node23032596,11.0,b
21,0.9677038403677449,node101118603,11.0,b
22,0.9514777589382799,node71579154,11.0,b
23,0.9544772839454602,node69935686,11.0,b
24,0.9544772044899532,node69936064,11.0,b
25,0.9885589534260394,node71243238,11.0,b
26,0.9514777596320168,cn-cable3338903-t2,11.0,b
27,0.9979883857372587,node23166608,11.0,b
28,0.9514777104623454,cubicle33471,11.0,b
29,0.9544772316764234,cn-cable3336711-t2,11.0,b
30,0.9672544361352656,node57577382,11.0,b
31,0.9677038450670976,node23319268,11.0,b
32,,node29539535,11.0,b
33,0.967254387999225,cn-cable3338686-t2,11.0,b
34,0.9993467023384571,cn-busbar87095-t2,11.0,b
35,0.967254374679793,node101117404,11.0,b
36,0.9544772925479881,node69935711,11.0,b
37,0.9819235006614931,node153774208,11.0,b
38,0.9885589070795857,cn-cable3341625-t2,11.0,b
39,0.9544771947762648,cubicle68128,11.0,b
40,0.9514777121833035,cubicle39128,11.0,b
41,0.9672543909466832,cubicle44233,11.0,b
42,0.9544772947114507,node69935742,11.0,b
43,0.9544772111932059,node69936246,11.0,b
44,0.9514777704660738,node67193396,11.0,b
45,0.954477203122085,cn-cable3336381-t2,11.0,b
46,0.9544772499392373,cubicle43784,11.0,b
47,0.9672544232505502,node57577381,11.0,b
48,0.9819235137346972,cn-cable3256246-t2,11.0,b
49,0.9544772989888087,cn-geo_schematic_cable22427-t1,11.0,b
50,0.9514777802310166,cn-cable3339094-t2,11.0,b
51,0.9544772123030112,cn-cable3336359-t2,11.0,b
52,0.981923527768709,cn-geo_schematic_cable23100-t1,11.0,b
53,0.9544772942692133,cubicle38103,11.0,b
54,,node29539599,11.0,b
55,0.9672543768200477,node67195826,11.0,b
56,0.9819235066473911,cubicle77073,11.0,b
57,0.954477195757092,node22958791,11.0,b
58,0.9514777993823963,node71578497,11.0,b
59,0.9819234937737721,cubicle97112,11.0,b
60,0.9978799589033366,node23427399,11.0,b
61,0.9677038491672041,node69877101,11.0,b
62,0.9514777561304387,cubicle42428,11.0,b
63,0.954477204264829,cubicle44837,11.0,b
64,0.9672543816668778,node67194544,11.0,b
65,0.967254401140804,cn-cable3338665-t2,11.0,b
66,0.9819235136093905,node245104988,11.0,b
67,0.9981453393780869,node24502843,11.0,b
68,0.954477232951094,cn-cable3336714-t2,11.0,b
69,,node29539546,11.0,b
70,0.9514777764355484,cubicle35620,11.0,b
71,0.997726222124228,node24039692,11.0,b
72,0.967703866664975,node74598367,11.0,b
73,0.9514777838247596,node23019771,11.0,b
74,0.9544772346759747,cn-cable3336716-t2,11.0,b
75,0.9990955938792857,node29539823,11.0,b
76,0.9514777841581876,cn-cable3338201-t2,11.0,b
77,0.9672543912152666,cn-cable3338740-t2,11.0,b
78,0.9514777535276436,node67193282,11.0,b
79,0.9514777936705945,node67193200,11.0,b
80,0.9514777689017172,cubicle35614,11.0,b
81,0.951477798672718,cn-simulated23032596_100931-t2,11.0,b
82,0.9544772132086442,cubicle49345,11.0,b
83,0.9819235067568073,node36726543,11.0,b
84,0.9544772887314306,node22985154,11.0,b
85,0.9677038277402286,node65782830,11.0,b
86,0.9677038535951723,cubicle45120,11.0,b
87,0.9514777852839833,cn-cable3338204-t2,11.0,b
88,0.9672544078362731,cn-cable3338474-t2,11.0,b
89,0.9992718614435656,cn-cable1201724-t2,11.0,b
90,0.9677038391735476,cn-cable3338859-t2,11.0,b
91,0.9995039643016539,cn-geo_schematic_cable25611-t1,11.0,b
92,0.9885589234294406,node67831042,11.0,b
93,0.9677038322470272,node65782798,11.0,b
94,0.9677038617799392,node59740707,11.0,b
95,0.9672543814447272,cubicle36297,11.0,b
96,0.9514777936942489,cubicle37892,11.0,b
97,0.9514777845736119,cubicle33467,11.0,b
98,0.9885589097227836,cubicle41037,11.0,b
99,0.9885589292382968,cubicle46713,11.0,b
100,0.9514777510230626,cn-cable3338148-t2,11.0,b
101,0.967703829039087,cubicle102861,11.0,b
102,0.9514777811081676,node67193624,11.0,b
103,0.9514777856947397,cn-geo_schematic_cable27524-t2,11.0,b
104,0.9672543697812638,cubicle69503,11.0,b
105,0.9995039643016538,cn-geo_schematic_cable380329-t1,11.0,b
106,0.9514777532997946,cn-cable3338181-t2,11.0,b
107,0.951477747522102,node102021130,11.0,b
108,0.9672543746797925,cubicle69500,11.0,b
109,0.9544772333070368,node69935372,11.0,b
110,0.9514778207033523,cn-geo_schematic_cable1841-t2,11.0,b
111,0.9514777550417979,cn-cable3338172-t2,11.0,b
112,0.9544772039683289,cubicle45981,11.0,b
113,0.9991452684195821,node29539706,11.0,b
114,0.954477210831675,cn-cable3336363-t2,11.0,b
115,0.9819234984295225,node79636605,11.0,b
116,0.9514777303672293,cn-cable3338913-t2,11.0,b
117,0.9514777601459621,node71578449,11.0,b
118,0.9980275926366866,node84338515,11.0,b
119,0.9672544101436866,node57577378,11.0,b
120,0.967254370503465,cn-cable3338487-t2,11.0,b
121,0.9672543881297228,cubicle46861,11.0,b
122,0.9514777687888002,cn-cable3338932-t2,11.0,b
123,0.9885589094774766,cubicle38771,11.0,b
124,0.9544772581815807,node69935532,11.0,b
125,0.9514777974852805,node71579238,11.0,b
126,0.9514777905854557,node71578696,11.0,b
127,0.954477216680336,node69936152,11.0,b
128,0.9677038389963114,cubicle47400,11.0,b
129,0.9514777142080372,cn-cable3338864-t2,11.0,b
130,0.9514777955639856,cn-cable3339037-t2,11.0,b
131,0.9514777803439336,cubicle41398,11.0,b
132,0.9984841314950184,node161553390,11.0,b
133,0.9819235097225557,node101116406,11.0,b
134,0.9514777680996295,cn-cable3338930-t2,11.0,b
135,0.9979893778399828,node23506966,11.0,b
136,0.9514777647388694,node67193326,11.0,b
137,0.9993467152494387,cn-simulated23058287_112903-t2,11.0,b
138,0.9672543797555886,node22373296,11.0,b
139,0.9885589294097964,cubicle47839,11.0,b
140,0.9819235195625214,node59312998,11.0,b
141,0.9514777143209541,cubicle50467,11.0,b
142,0.9984841314950184,cn-busbar355175-t2,11.0,b
143,0.9544772122423985,cubicle33447,11.0,b
144,0.9514778382579966,node70361087,11.0,b
145,0.9672543982439233,cn-cable3338662-t2,11.0,b
146,0.9672543706316181,cubicle69502,11.0,b
147,0.9514777990465609,cubicle49322,11.0,b
148,0.951477798672718,cn-cable1236568-t1,11.0,b
149,0.9514777479588276,cn-cable3338151-t2,11.0,b
150,0.9987528439985979,node23065974,11.0,b
151,0.9514777851301539,node57578106,11.0,b
152,0.9672543695510049,cubicle69504,11.0,b
153,0.9544772497892688,node69935902,11.0,b
154,0.9514777681113,node71578957,11.0,b
155,0.951477747522102,node67193541,11.0,b
156,0.9544772505983286,node69935554,11.0,b
157,0.9544772124544724,cubicle34591,11.0,b
158,0.9544772571319461,cubicle46068,11.0,b
159,0.9544772931355805,node58449876,11.0,b
160,0.9514777841799104,cn-cable3338200-t2,11.0,b
161,0.9885589126571827,node60264081,11.0,b
162,0.9885589296313998,cubicle33092,11.0,b
163,0.951477799972175,node71578611,11.0,b
164,0.9672543772643486,node67195828,11.0,b
165,0.9514777151967228,cn-cable3338868-t2,11.0,b
166,0.9544772269560952,cubicle48221,11.0,b
167,0.9544772881828494,cn-geo_schematic_cable22431-t1,11.0,b
168,0.9514777480840548,cubicle36854,11.0,b
169,0.9514777942886662,node23220059,11.0,b
170,0.9819235004293582,cn-cable3338285-t2,11.0,b
171,0.9514777691275511,node71578941,11.0,b
172,0.9514777469575174,cubicle35717,11.0,b
173,0.9544772107609003,cubicle41419,11.0,b
174,0.9672544064782075,node74192384,11.0,b
175,0.9819234901395771,cubicle110989,11.0,b
176,0.998752843998698,cn-cable2122107-t2,11.0,b
177,0.9989276280143657,node84230727,11.0,b
178,0.9819235150764661,node61343056,11.0,b
179,0.9514777308486174,cubicle34606,11.0,b
180,0.9514777854037795,cubicle42552,11.0,b
181,0.951477751153414,cubicle35723,11.0,b
182,0.9995039643016542,node59607016,11.0,b
183,0.951477794959992,node100121487,11.0,b
184,0.9544772329282847,cn-cable3336353-t2,11.0,b
185,0.9514777879530777,node59739651,11.0,b
186,0.9672543846763444,node67195367,11.0,b
187,0.9995536727132079,cn-busbar87061-t2,11.0,b
188,0.9514777573374045,cubicle44807,11.0,b
189,0.9672543911688337,node67195581,11.0,b
190,0.9979883857372744,cn-cable1142178-t2,11.0,b
191,0.9885589570587863,node23015020,11.0,b
192,0.9544772823404536,cubicle39162,11.0,b
193,0.9677038449063718,cn-cable3338852-t2,11.0,b
194,0.9544772461104889,cubicle41535,11.0,b
195,0.9544772334415849,node69935927,11.0,b
196,0.999297001529284,cn-busbar251728-t2,11.0,b
197,0.9672543912071483,cn-cable3338741-t2,11.0,b
198,0.9819235010481814,node101116139,11.0,b
199,0.9514777568596854,cn-cable3338996-t2,11.0,b
200,0.9514778373505506,cn-cable3295683-t1,11.0,b
201,0.9995039643016538,cn-geo_schematic_cable380327-t2,11.0,b
202,0.954477223128985,node69936141,11.0,b
203,0.9544772575999959,cn-cable3269444-t2,11.0,b
204,0.9514777930343392,node57578117,11.0,b
205,0.954477190894346,node23030576,11.0,b
206,0.9885589219154346,cn-cable3341620-t2,11.0,b
207,0.9544772577271028,cubicle49434,11.0,b
208,0.9514777680728189,cubicle40150,11.0,b
209,0.9980275926318013,cn-cable4304011-t1,11.0,b
210,0.9514777809238903,cn-cable3338936-t2,11.0,b
211,0.9885589146134479,node60264070,11.0,b
212,0.951477757482047,cn-cable3338952-t2,11.0,b
213,0.9672543911688338,node74191979,11.0,b
214,0.9981406594350043,node84142962,11.0,b
215,0.9989144827531244,cn-cable2937658-t1,11.0,b
216,0.9514777617572772,cn-cable3338997-t2,11.0,b
217,0.9672544084775597,node59740028,11.0,b
218,0.9990955938792861,node29539829,11.0,b
219,0.9514777992694794,cubicle42443,11.0,b
220,0.9672543721320879,cubicle69501,11.0,b
221,0.9514777103368337,cn-cable3338860-t2,11.0,b
222,,node29539518,11.0,b
223,,node29539569,11.0,b
224,0.9544772577291123,cubicle39241,11.0,b
225,0.9514777889110049,node67193139,11.0,b
226,0.9514777868035181,node35591462,11.0,b
227,0.9885589071882671,cubicle39895,11.0,b
228,0.9977262130032373,cn-busbar83733-t2,11.0,b
229,0.9672543821265596,node67195290,11.0,b
230,0.9544772109680818,cubicle40276,11.0,b
231,0.9819235131069791,node59283145,11.0,b
232,0.98192349344503,cn-cable3338289-t2,11.0,b
233,0.9672544079748813,cubicle40841,11.0,b
234,0.9514777858062687,node67193101,11.0,b
235,0.9544772459743891,cn-cable3269443-t2,11.0,b
236,0.9544772190540286,cubicle34619,11.0,b
237,0.951477710802456,node69936339,11.0,b
238,0.9819235136093905,node24153826,11.0,b
239,0.9677038410282252,node69877027,11.0,b
240,0.9514777574382957,cn-cable3338142-t2,11.0,b
241,0.9514777794843062,node57578105,11.0,b
242,0.9514777882824543,node67193147,11.0,b
243,0.951477755786518,cubicle44801,11.0,b
244,0.9983057476766211,node74092492,11.0,b
245,0.9544772837203359,cubicle48240,11.0,b
246,0.9819235016350957,cn-cable3304342-t1,11.0,b
247,0.9984987017760872,node23107373,11.0,b
248,,node29539460,11.0,b
249,0.9514777482839492,cubicle34603,11.0,b
250,0.967254381904409,cubicle43221,11.0,b
251,0.951477768325729,cubicle39022,11.0,b
252,0.9677038866492207,cn-geo_schematic_cable27949-t1,11.0,b
253,0.9514778234198183,node101119362,11.0,b
254,0.9514777905854557,node102518697,11.0,b
255,0.9514777572037647,cn-cable3338141-t2,11.0,b
256,0.9677038393450357,node23529726,11.0,b
257,0.9514777836594842,cn-cable3339030-t2,11.0,b
258,0.9514777435704619,cubicle43565,11.0,b
259,0.9984710116554972,node67195950,11.0,b
260,0.9514777434258256,cn-cable3338905-t2,11.0,b
261,0.951477712051729,cn-cable3338863-t2,11.0,b
262,0.9672544425776235,cn-geo_schematic_cable1690-t1,11.0,b
263,0.9514777270601981,node71578394,11.0,b
264,0.9672543913318095,cubicle50237,11.0,b
265,,node29539497,11.0,b
266,0.9998123761537521,node23148406,11.0,b
267,0.9672543783230169,cubicle37764,11.0,b
268,,node29539621,11.0,b
269,0.9672543932786919,cubicle47655,11.0,b
270,0.9514777679599018,cn-cable3338927-t2,11.0,b
271,0.9819234922927709,cubicle111148,11.0,b
272,0.9514777926906746,node100121528,11.0,b
273,0.9544772468444238,node69935461,11.0,b
274,0.9677038534480769,cn-cable3339126-t2,11.0,b
275,0.9544772318026782,cubicle50506,11.0,b
276,0.9514777576544761,cubicle45831,11.0,b
277,0.9998604019429103,cn-cable2122108-t2,11.0,b
278,0.967254380163056,cn-cable3338466-t2,11.0,b
279,0.9980275926366866,cn-busbar254942-t2,11.0,b
280,0.9984462968209178,node24046336,11.0,b
281,0.981923497593033,node36726535,11.0,b
282,0.967703855599016,node65782890,11.0,b
283,0.9819234895181653,cn-cable3713957-t2,11.0,b
284,0.9514777877082827,node67193128,11.0,b
285,0.951477730872699,cubicle33464,11.0,b
286,0.9989276280143659,node84230737,11.0,b
287,0.9980275926318001,node23378215,11.0,b
288,0.9677038402154413,cn-cable3338856-t2,11.0,b
289,0.98855891982518,node67830826,11.0,b
290,0.9514778518527576,cn-simulated84625474_202755-t1,11.0,b
291,0.9677038301352373,cn-cable3338220-t2,11.0,b
292,0.9677038701067081,node59740730,11.0,b
293,0.9514777684500505,cubicle37885,11.0,b
294,0.9514777662261387,cn-cable3339044-t2,11.0,b
295,0.9984841049270462,node161553353,11.0,b
296,0.9514777558258423,cn-cable3338957-t2,11.0,b
297,0.9672543781952517,cn-cable3338748-t2,11.0,b
298,0.9514777742046512,node71578873,11.0,b
299,0.9672544054785328,node57577377,11.0,b
300,0.9672543983697273,cubicle37426,11.0,b
301,0.9514777818555665,node151251899,11.0,b
302,0.9672543812766639,cubicle35158,11.0,b
303,0.9514777976189855,node71578846,11.0,b
304,0.9995537610230466,node23398575,11.0,b
305,0.9514777956930011,node23220058,11.0,b
306,0.9981406397932274,cn-busbar88081-t1,11.0,b
307,0.967703825381679,node69876850,11.0,b
308,0.9672543795334376,cubicle48772,11.0,b
309,0.9514777513023818,cubicle33460,11.0,b
310,0.9677038297377152,node65782807,11.0,b
311,0.954477261316749,cn-cable3336351-t2,11.0,b
312,0.9514777265164358,cn-cable3338908-t2,11.0,b
313,0.9544772502532772,node69935634,11.0,b
314,0.9514777557331902,cn-cable3338145-t2,11.0,b
315,0.9514777122990802,cubicle45948,11.0,b
316,0.9672544078514445,cn-cable3338475-t2,11.0,b
317,0.9984841182058587,node161553407,11.0,b
318,0.9978799591186689,cn-simulated23427399_210792-t1,11.0,b
319,0.9514777540918321,cubicle41409,11.0,b
320,0.9819235009141895,cn-cable3338283-t2,11.0,b
321,0.9514778228434426,cn-cable1115303-t1,11.0,b
322,0.9514777921964316,node73296175,11.0,b
323,0.9984841381395979,node161553384,11.0,b
324,0.967254395989641,node67195527,11.0,b
325,0.9514777600330451,cubicle39028,11.0,b
326,0.9514777572157826,node71579187,11.0,b
327,0.999346715249472,node84142412,11.0,b
328,0.9819235006338165,node23381694,11.0,b
329,0.9514778007274184,cn-cable1144520-t2,11.0,b
330,0.9672543749019422,node101117387,11.0,b
331,0.9514777541402677,cn-cable3338179-t2,11.0,b
332,0.9677038485439454,cubicle49635,11.0,b
333,0.9514777883953716,cubicle49329,11.0,b
334,0.9993467152494387,node23058287,11.0,b
335,0.9995537610126902,cn-cable1188760-t1,11.0,b
336,0.998794323027989,cn-cable1236610-t1,11.0,b
337,0.9544772322082803,node69935403,11.0,b
338,0.9990955938792815,node29539805,11.0,b
339,0.9514777702402399,cubicle41403,11.0,b
340,0.9677038667760036,node74598356,11.0,b
341,0.951477788124072,node67193148,11.0,b
342,0.9514777598961396,cn-cable3338919-t2,11.0,b
343,0.9677038362850541,cubicle40584,11.0,b
344,0.9677038616221606,cubicle46265,11.0,b
345,0.9819235066473911,cubicle77072,11.0,b
346,0.951477768212812,cn-cable3338926-t2,11.0,b
347,0.9983182238116627,cn-busbar84114-t2,11.0,b
348,0.9677038553769689,cubicle40579,11.0,b
349,0.9514777439451069,node71578408,11.0,b
350,0.9544772941322298,cn-cable3336327-t2,11.0,b
351,0.951477753303403,cn-cable3338180-t2,11.0,b
352,0.9677038532494006,cn-cable3338216-t2,11.0,b
353,0.9544772457266534,cn-cable3336708-t2,11.0,b
354,0.9819235095785773,cn-cable3338340-t2,11.0,b
355,0.9672543916065108,cubicle49109,11.0,b
356,0.981923500661494,node84625716,11.0,b
357,0.9672544146977633,cn-geo_schematic_cable14365-t2,11.0,b
358,0.9514777268343643,cubicle47097,11.0,b
359,0.9544772037769126,cn-cable3336380-t2,11.0,b
360,0.9514777766613822,node71579091,11.0,b
361,0.9514777155913149,cubicle44805,11.0,b
362,0.9885589198251803,cn-geo_schematic_cable36510-t2,11.0,b
363,0.9514778112726053,node57578109,11.0,b
364,0.9885589220241161,cubicle43298,11.0,b
365,0.9677038488049275,cn-cable3338259-t2,11.0,b
366,0.9544772164090587,cn-cable3336368-t2,11.0,b
367,0.9514777988610492,cn-cable3338902-t2,11.0,b
368,0.9514778013462757,cn-cable3339592-t2,11.0,b
369,0.9544772827851765,node60063915,11.0,b
370,0.967703844602007,node23319269,11.0,b
371,0.9514777763226314,cn-cable3338950-t2,11.0,b
372,0.9544771951406603,node22943850,11.0,b
373,0.967254376431019,cn-geo_schematic_cable1861-t2,11.0,b
374,0.9677038534169761,cubicle50763,11.0,b
375,0.9677038538172199,node69876678,11.0,b
376,0.9514777804410995,cn-cable3338921-t2,11.0,b
377,0.9672543980586111,cubicle39696,11.0,b
378,0.9514777806800978,cubicle45838,11.0,b
379,0.9677038313708847,node69876797,11.0,b
380,0.981923496231742,node79493030,11.0,b
381,0.9819234891785715,cubicle111147,11.0,b
382,0.9514777915568581,node71578708,11.0,b
383,0.9677038408061777,cubicle43985,11.0,b
384,0.9514777125249145,node69936372,11.0,b
385,0.9544772921906847,cn-cable3336729-t2,11.0,b
386,0.951477839888464,node84625509,11.0,b
387,0.981923496427452,cubicle77078,11.0,b
388,0.9514777908138686,node101119328,11.0,b
389,0.967254401490108,node67195503,11.0,b
390,0.9984841115405854,node161553431,11.0,b
391,0.9514777847994461,node67193045,11.0,b
392,0.9514777922795719,cn-cable3339049-t2,11.0,b
393,0.9514777764406954,cubicle36749,11.0,b
394,0.981923496427452,node36726527,11.0,b
395,0.9677038550390614,cubicle39443,11.0,b
396,0.9677038364315601,cubicle38311,11.0,b
397,0.9819235005520771,cubicle37985,11.0,b
398,0.9514777806079311,cubicle49220,11.0,b
399,0.9677038299542597,cn-cable3338222-t2,11.0,b
400,0.9672543787286514,node67195771,11.0,b
401,0.9978799587956704,cn-cable3338483-t2,11.0,b
402,0.9989847736827523,cn-cable1218152-t1,11.0,b
403,0.9672544124762634,node57577389,11.0,b
404,0.9514777581287263,node67193367,11.0,b
405,0.9885589227781909,cn-cable3341619-t2,11.0,b
406,0.9819234934293698,node36726501,11.0,b
407,0.9677038250081249,cubicle33777,11.0,b
408,0.9983821354472785,cn-cable1133130-t1,11.0,b
409,0.9514777585220641,cubicle33355,11.0,b
410,0.9514777854296322,cn-cable3338188-t2,11.0,b
411,0.9544772048122329,node69936009,11.0,b
412,0.9993470874747357,node141207713,11.0,b
413,0.951477790678872,cn-cable3339035-t2,11.0,b
414,0.9514777640613683,cubicle37996,11.0,b
415,0.9993467023177446,cn-busbar87086-t2,11.0,b
416,0.9990955938792841,node150179237,11.0,b
417,0.9993467152494712,node84142353,11.0,b
418,0.9819235195625214,node59312972,11.0,b
419,0.9672543817695534,cn-cable3338470-t2,11.0,b
420,0.9819234935549395,cubicle97111,11.0,b
421,0.951477756238186,node67193435,11.0,b
422,0.9983182303256651,node24069238,11.0,b
423,0.9514777866511102,cn-cable3339031-t2,11.0,b
424,0.9992970015292844,cn-busbar251728-t1,11.0,b
425,0.9514777563562726,node71579002,11.0,b
426,,node29539449,11.0,b
427,0.951477785581824,node57578118,11.0,b
428,0.9544772123419103,cn-cable3336362-t2,11.0,b
429,0.9514777558633448,cubicle43670,11.0,b
430,0.9980527240026049,cn-cable3397178-t1,11.0,b
431,0.9544772348066505,cubicle39191,11.0,b
432,0.9980275926366866,node84145216,11.0,b
433,0.9819235132139039,cn-cable3806606-t2,11.0,b
434,0.9672543819824383,cn-cable3338742-t2,11.0,b
435,0.9672543819792181,cn-cable3338744-t2,11.0,b
436,0.9514777541594531,cn-cable3338178-t2,11.0,b
437,0.954477216234718,cubicle38012,11.0,b
438,0.9544772130362704,node69936185,11.0,b
